Norm,Art,Ap,Sub,Nº,Descripció,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
RGC,12,4,,2,"CIRCULAR AMB EL VEHICLE RESSENYAT, ARROSSEGANT UN REMOLC, TRANSPORTANT PERSONES ",6,100,90,L,N,0,,14915
RGC,13,1,,1,"CIRCULAR AMB UN VEHICLE, LA LONGITUD, AMPLADA O ALTURA DEL QUAL. INCLOSA LA CÀRREGA, EXCEDEIX DELS LÍMITS REGLAMENTARIS ",200,200,200,L,N,0,,17737
RGC,13,2,,3,"CIRCULAR AMB UN VEHICLE, LA CÀRREGA INDIVISIBLE DEL QUAL EX CEDEIX LA LONGITUD, AMPLADA O ALTURA REGLAMENTÀRIES, SENSE AUTORITZACIÓ COMPLEMENTÀRIA",500,500,500,L,N,0,,17738
RGC,14,1,A,2,"CIRCULAR AMB UN VEHICLE AMB UNA CÀRREGA QUE POT ARROSSEGAR- SE, CAURE SOBRE LA VIA O DESPLAÇAR-SE DE MANERA PERILLOSA A CAUSA DEL SEU CONDICIONAMENT",200,200,200,L,N,0,,13615
RGC,14,1,A,3,CIRCULAR AMB UN VEHICLE AMB CARREGA QUE S'HA DESPLAÇAT PERILLOSAMENT ,200,200,200,L,N,0,,16657
RGC,14,1,A,5,CIRCULAR AMB UN VEHICLE AMB UNA CÀRREGA QUE POT COMPROMETRE L'ESTABILITAT DEL VEHICLE A CAUSA DEL SEU CONDICIONAMENT ,200,200,200,L,N,0,,17518
RGC,14,1,B,3,"CIRCULAR AMB UN VEHICLE, LA CÀRREGA DEL QUAL HA CAIGUT A LA VIA PEL SEU MAL ACONDICIONAMENT, CREANT GREU PERILL PER A LA RESTA DELS USUARIS",500,500,500,L,N,0,,18294
RGC,14,1,B,4,"CIRCULAR AMB UN VEHICLE AMB UNA CÀRREGA QUE POT COMPROMETRE LA SEVA ESTABILITAT, SENSE DISPOSAR DELS ACCESSORIS QUE GARANTEIXIN LA PROTECCIÓ O ACONDICIONAMENT DE LA CÀRREGA",200,200,200,L,N,0,,18903
RGC,14,1,C,1,"CIRCULAR AMB UN VEHICLE AMB UNA CÀRREGA QUE PRODUEIX SOROLL, POLS O ALTRES MOLÈSTIES QUE ES PODEN EVITAR ",6,100,90,L,N,0,,5778
RGC,14,1,D,1,"CIRCULAR AMB VEHICLE AMB CÀRREGA QUE OCULTA ELS DISPOSITIUS D'ENLLUMENAT O DE SENYALITZACIÓ LLUMINOSA, LES PLAQUES O ELS DISTINTIUS OBLIGATORIS O ADVERTÈNCIES MANUALS DEL CONDUCTOR",6,100,90,L,N,0,,5779
RGC,14,2,,1,"CIRCULAR AMB UN VEHICLE SENSE PORTAR COBERTES, TOTALMENT I EFICAÇMENT, LES MATÈRIES QUE PRODUEIXEN POLS O QUE PODEN CAURE",6,100,90,L,N,0,,5780
RGC,15,2,,1,"CIRCULAR AMB UN VEHICLE DESTINAT AL TRANSPORT DE MERCADERIES, LA CÀRREGA INDIVISIBLE DEL QUAL SOBRESURT DELS LÍMITS REGLAMENTARIS",6,100,90,L,N,0,,5781
RGC,15,3,,1,"CIRCULAR AMB UN VEHICLE, NO DESTINAT AL TRANSPORT DE MERCADERIES, LA CÀRREGA DEL QUAL SOBRESURT DELS LÍMITS REGLAMENTARIS",6,100,90,L,N,0,,5782
RGC,15,4,,1,CIRCULAR AMB UN VEHICLE D'AMPLADA INFERIOR A 1 METRE LA CÀRREGA DEL QUAL SOBRESURT DELS LÍMITS REGLAMENTARIS ,6,100,90,L,N,0,,5783
RGC,15,5,,1,NO PROTEGIR LA CÀRREGA QUE SOBRESURT PER EVITAR DANYS O PERILLS ALS ALTRES USUARIS ,6,100,90,L,N,0,,5784
RGC,15,6,,2,NO SENYALITZAR REGLAMENTÀRIAMENT LA CÀRREGA QUE SOBRESURT LONGITUDINALMENT DEL VEHICLE RESSENYAT ,6,100,90,C,N,0,,23246
RGC,16,,,1,REALITZAR DINS LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA  ,6,100,90,L,N,0,,5786
RGC,16,,,2,REALITZAR DINS LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA OCASIONANT PERILL O PERTORBACIONS GREUS AL TRÀNSIT D'ALTRES USUARIS,6,100,90,L,N,0,,5787
