Norm,Art,Ap,Sub,Nº,Descripció,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
RGC,20,1,,44,CONDUIR UN VMP AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 1 GRAM PER LITRE ,"1.000,00","1.000,00","1.000,00",L,N,0,9,24611
RGC,20,1,,45,"CONDUIR UNA BICICLETA AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,50 MIL.LIGRAMS PER LITRE ","1.000,00","1.000,00","1.000,00",L,N,0,9,24612
RGC,20,1,,1,"CONDUIR UN VEHICLE AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,5 FINS 1 GRAM PER LITRE ",500,"1.000,00",500,L,N,4,8,5652
RGC,20,1,,2,"CONDUIR UN VEHICLE AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,25 FINS 0,50 MIL.LIGRAMS PER LITRE ",500,"1.000,00",500,L,N,4,8,5653
RGC,20,1,,3,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES AMB MMA SUPERIOR A 3.500 KGS. AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5654
RGC,20,1,,4,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES AMB MMA SUPERIOR A 3.500 KGS. AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15  FINS 0,30 MIL.LIGRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5655
RGC,20,1,,5,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE VIATGERS DE MÉS DE NOU PLACES, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5656
RGC,20,1,,6,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE VIATGERS DE MÉS DE NOU PLACES, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPE RIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5657
RGC,20,1,,7,"CONDUIR UN VEHICLE DE SERVEI PÚBLIC AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE ",500,"1.000,00",500,L,N,4,8,5658
RGC,20,1,,8,"CONDUIR UN VEHICLE DE SERVEI PÚBLIC AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5659
RGC,20,1,,9,"CONDUIR UN VEHICLE DESTINAT AL TRANSPORT ESCOLAR O DE ME NORS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5660
RGC,20,1,,10,"CONDUIR UN VEHICLE DESTINAT AL TRANSPORT ESCOLAR O DE ME NORS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5661
RGC,20,1,,11,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES PE RILLOSES, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5662
RGC,20,1,,12,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES PE RILLOSES, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5663
RGC,20,1,,13,"CONDUIR UN VEHICLE DE SERVEI D'URGÈNCIA AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE ",500,"1.000,00",500,L,N,4,8,5664
RGC,20,1,,14,"CONDUIR UN VEHICLE DE SERVEI D'URGÈNCIA AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LI GRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5665
RGC,20,1,,15,"CONDUIR UN VEHICLE DESTINAT A TRANSPORTS ESPECIALS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,3 FINS 0,6 GRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5666
RGC,20,1,,16,"CONDUIR UN VEHICLE DESTINAT A TRANSPORTS ESPECIALS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5667
RGC,20,1,,17,"CONDUIR UN VEHICLE AMB UN PERMÍS DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPE RIOR A 0,3 FINS 0,6 GRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5668
RGC,20,1,,18,"CONDUIR UN VEHICLE AMB UN PERMÍS DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPI RAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5669
RGC,20,1,,19,"CONDUIR UN VEHICLE AMB LLICÈNCIA DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPE RIOR A 0,3 FINS 0,6 GRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5670
RGC,20,1,,20,"CONDUIR UN VEHICLE AMB LLICÈNCIA DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPI RAT SUPERIOR A 0,15 FINS 0,30 MIL.LIGRAMS PER LITRE",500,"1.000,00",500,L,N,4,8,5671
RGC,20,1,,21,CONDUIR UN VEHICLE AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 1 GRAM PER LITRE ,"1.000,00","1.000,00","1.000,00",L,N,6,9,6069
RGC,20,1,,22,"CONDUIR UN VEHICLE AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,50 MIL.LIGRAMS PER LITRE ","1.000,00","1.000,00","1.000,00",L,N,6,9,6070
RGC,20,1,,23,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES AMB MMA SUPERIOR A 3.500 KGS. AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6071
RGC,20,1,,24,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES AMB MMA SUPERIOR A 3.500 KGS. AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6072
RGC,20,1,,25,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE VIATGERS DE MÉS DE NOU PLACES, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6073
RGC,20,1,,26,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE VIATGERS DE MÉS DE NOU PLACES, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPE RIOR A 0,30 MIL.LIGRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6074
RGC,20,1,,27,"CONDUIR UN VEHICLE DE SERVEI PÚBLIC AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE ","1.000,00","1.000,00","1.000,00",L,N,6,9,6075
RGC,20,1,,28,"CONDUIR UN VEHICLE DE SERVEI PÚBLIC AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE ","1.000,00","1.000,00","1.000,00",L,N,6,9,6076
RGC,20,1,,29,"CONDUIR UN VEHICLE DESTINAT AL TRANSPORT ESCOLAR O DE ME NORS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6077
RGC,20,1,,30,"CONDUIR UN VEHICLE DESTINAT AL TRANSPORT ESCOLAR O DE ME NORS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0.30 MIL.LIGRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6078
RGC,20,1,,31,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES PE RILLOSES, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6079
RGC,20,1,,32,"CONDUIR UN VEHICLE DESTINAT A TRANSPORT DE MERCADERIES PE RILLOSES, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6080
RGC,20,1,,33,"CONDUIR UN VEHICLE DE SERVEI D'URGÈNCIA AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE ","1.000,00","1.000,00","1.000,00",L,N,6,9,6081
RGC,20,1,,34,"CONDUIR UN VEHICLE DE SERVEI D'URGÈNCIA AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6082
RGC,20,1,,35,"CONDUIR UN VEHICLE DESTINAT A TRANSPORTS ESPECIALS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPERIOR A 0,6 GRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6083
RGC,20,1,,36,"CONDUIR UN VEHICLE DESTINAT A TRANSPORTS ESPECIALS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6084
RGC,20,1,,37,"CONDUIR UN VEHICLE AMB UN PERMÍS DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPE RIOR A 0,6 GRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6085
RGC,20,1,,38,"CONDUIR UN VEHICLE AMB UN PERMÍS DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPI RAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6086
RGC,20,1,,39,"CONDUIR UN VEHICLE AMB LLICÈNCIA DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL A LA SANG SUPE RIOR A 0,6 GRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6087
RGC,20,1,,40,"CONDUIR UN VEHICLE AMB LLICÈNCIA DE CONDUCCIÓ D'ANTIGUITAT INFERIOR ALS DOS ANYS, AMB UNA TAXA D'ALCOHOL EN AIRE ESPI RAT SUPERIOR A 0,30 MIL.LIGRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,6,9,6088
RGC,21,1,,6,"INCOMPLIR L'OBLIGACIO, LA PERSONA CONDUCTORA DEL VEHICLE, DE SOTMETRE'S A LES PROVES PER A LA DETECCIO D'ALCOHOL EN L'ORGANISME","1.000,00","1.000,00","1.000,00",L,N,6,9,16177
RGC,21,1,,8,"INCOMPLIR L'OBLIGACIO, LA PERSONA IMPLICADA EN UN ACCIDENT DE TRANSIT, DE SOTMETRE'S A LES PROVES DE DETECCIO D'ALCOHOL EN L'ORGANISME","1.000,00","1.000,00","1.000,00",L,N,6,9,16179
RGC,21,1,,10,"INCOMPLIR L'OBLIGACIO, LA PERSONA QUE HA COMES UNA INFRACCIO, DE SOTMETRE'S A LES PROVES DE DETECCIO D'ALCOHOL EN L'ORGANISME","1.000,00","1.000,00","1.000,00",L,N,0,9,16181
RGC,21,1,,12,"INCOMPLIR L'OBLIGACIO, LA PERSONA CONDUCTORA D'UNA BICICLETA, DE SOTMETRE'S A LES PROVES PER A LA DETECCIO D'ALCOHOL EN L'ORGANISME","1.000,00","1.000,00","1.000,00",L,N,0,9,18553
RGC,21,1,,13,"INCOMPLIR L'OBLIGACIO, LA PERSONA CONDUCTORA D'UN VMP, DE SOTMETRE'S A LES PROVES PER A LA DETECCIO D'ALCOHOL EN L'ORGANISME","1.000,00","1.000,00","1.000,00",L,N,0,9,19624
RGC,29,1,,2,"CIRCULAR PER UNA VIA DE DOBLE SENTIT DE CIRCULACIÓ, EN UN RE VOLT DE VISIBILITAT REDUÏDA, SENSE DEIXAR COMPLETAMENT LLIU RE LA MEITAT DE LA CALÇADA CORRESPONENT AL SENTIT CONTRARI",200,200,200,L,N,0,,5586
RGC,29,1,,3,"CIRCULAR PER UNA VIA DE DOBLE SENTIT, EN UN CANVI DE RASANT DE VISIBILITAT REDUÏDA, SENSE DEIXAR COMPLETAMENT LLIURE LA MEITAT DE LA CALÇADA QUE CORRESPON AL SENTIT CONTRARI",200,200,200,L,N,0,,5587
RGC,29,1,,7,"CIRCULAR PER UNA VIA DE DOBLE SENTIT DE LA CIRCULACIÓ, SENSE ACOSTAR-SE TANT COM SIGUI POSSIBLE AL COSTAT DRET DE LA CAL ÇADA, PER PERMETRE CREUAR AMB SEGURETAT UN ALTRE VEHICLE",200,200,200,L,N,0,,13628
RGC,29,2,,1,"CIRCULAR PER L'ESQUERRA, EN SENTIT CONTRARI A L'ESTIPULAT, EN UNA VIA DE DOBLE SENTIT DE LA CIRCULACIÓ ",500,500,500,L,N,6,,13624
RGC,29,2,,2,"CIRCULAR PER L'ESQUERRA, EN SENTIT CONTRARI A L'ESTIPULAT, EN UNA VIA DE DOBLE SENTIT DE LA CIRCULACIÓ, EN UN REVOLT DE VISIBILITAT REDUÏDA",500,500,500,L,N,6,,13625
RGC,29,2,,3,"CIRCULAR PER L'ESQUERRA, EN SENTIT CONTRARI A L'ESTABLERT, EN UNA VIA DE DOBLE SENTIT DE LA CIRCULACIÓ, EN UN CANVI DE RASANT DE VISIBILITAT REDUÏDA",500,500,500,L,N,6,,13626
RGC,30,1,,2,"CIRCULAR PEL VORAL SENSE CAUSA O RAÓ D'EMERGÈNCIA, AMB UN VEHICLE AUTOMÒBIL ",200,200,200,L,N,0,,13630
RGC,30,1,A,2,"CIRCULAR PEL CARRIL DE L'ESQUERRA, EN SENTIT CONTRARI A L'ESTIPULAT, EN UNA CALÇADA AMB DOBLE SENTIT DE CIRCULACIÓ I DOS CARRILS SEPARATS O NO PER MARQUES VIÀRIES",500,500,500,L,N,6,,14212
RGC,30,1,B,2,"CIRCULAR PEL CARRIL DE L'ESQUERRA, EN SENTIT CONTRARI A L'ESTIPULAT, EN UNA CALÇADA AMB DOBLE SENTIT DE CIRCULACIÓ I TRES CARRILS SEPARATS PER MARQUES LONGITUDINALS DISCONTINUES",500,500,500,L,N,6,,14213
RGC,33,,,2,"CIRCULAR AMB VEHICLE, EN POBLAT, PER UNA CALÇADA AMB ALMENYS DOS CARRILS PER AL MATEIX SENTIT, DELIMITATS AMB MARQUES LON GITUDINALS, DESPLAÇANT-SE DE CARRIL SENSE MOTIU JUSTIFICAT",200,200,200,L,N,0,,14757
RGC,36,1,,2,"CIRCULAR PER LA CALÇADA AMB UN CICLOMOTOR, OCUPANT MÉS CALÇADA QUE NO CAL, QUAN EL VORAL NO ÉS TRANSITABLE ",200,200,200,L,N,0,,14758
RGC,36,1,,3,"NO CIRCULAR, EL CONDUCTOR D'UN CICLE, PEL VORAL TRANSITABLE DE LA SEVA DRETA, O CIRCULAR OCUPANT MÉS CALÇADA DE LA QUE ÉS IMPRESCINDIBLE, QUAN EL VORAL ÉS INTRANSITABLE",200,200,200,L,N,0,,20400
RGC,36,2,,6,CIRCULAR PEL VORAL EN POSICIÓ PARAL.LELA A UN ALTRE VEHICLE TENINT TOTS DOS VEHICLES PROHIBIDA AQUESTA FORMA DE CIRCU LAR.,200,200,200,L,N,0,,13633
RGC,36,2,,7,"CIRCULAR PEL VORAL, EL CONDUCTOR D'UNA BICICLETA, EN POSICIÓ PARAL.LELA A UNA ALTRA BICICLETA EN UN TRAM SENSE VISIBILI TAT.",200,200,200,L,N,0,,13634
RGC,36,2,,8,"CIRCULAR PEL VORAL, EL CONDUCTOR D'UNA BICICLETA, EN POSICIÓ PARAL.LELA A UNA ALTRA BICICLETA QUAN FORMEN AGLOMERA CIONS DE TRÀNSIT.",200,200,200,L,N,0,,13635
RGC,36,2,,9,"CIRCULAR, EL CONDUCTOR D'UN CICLOMOTOR, EN POSICIÓ PARAL.LE LA A UN ALTRE CICLOMOTOR, ENVAINT LA CALÇADA DE LA VIA, QUAN EL VORAL ÉS TRANSITABLE I SUFICIENT.",200,200,200,L,N,0,,13636
RGC,36,3,,1,"CIRCULAR EN POSICIÓ PARAL.LELA AMB ALTRE VEHICLE AL REALITZAR UN AVANÇAMENT, EXCEDINT EN LA SEVA DURACIÓ ELS 15 SEGONS O EFECTUANT UN RECORREGUT SUPERIOR A 200 METRES",200,200,200,L,N,0,,19511
RGC,37,1,,1,CIRCULAR PER UNA VIA EN SENTIT CONTRARI A L'ORDENAT PER L'AUTORITAT COMPETENT PER RAONS DE FLUÏDESA O SEGURETAT DEL TRÀNSIT,500,500,500,L,N,6,,5818
RGC,37,1,,2,"CIRCULAR PER UNA VIA SUBJETA A RESTRICCIONS DE CIRCULACIÓ PER RAONS DE SEGURETAT O FLUÏDESA DEL TRÀNSIT, SENSE LA CORRESPONENT AUTORITZACIÓ",500,500,500,L,N,0,,24471
RGC,37,2,,1,CIRCULAR PER UNA VIA CONTRAVENINT LA RESTRICCIÓ O LIMITACIÓ DE CIRCULACIÓ DE DETERMINATS VEHICLES ORDENADA PER L'AUTORI TAT PER EVITAR L'ENTORPIMENT D'AQUELLA,6,100,90,L,N,0,,16417
RGC,38,4,,2,CIRCULAR AMB UN VMP (VEHICLE DE MOBILITAT PERSONAL) EN UNA TRAVESSIA TITULARITAT MUNICIPAL ,200,200,200,L,N,0,,21540
RGC,38,4,,3,CIRCULAR PER UN TÚNEL URBÀ AMB UN VEHICLE DE MOBILITAT PERSONAL (VMP) ,200,200,200,L,N,0,,21593
RGC,39,2,,1,CIRCULAR AMB EL VEHICLE RESSENYAT DINTRE DELS ITINERARIS I TERMINIS OBJECTE DE LES RESTRICCIONS IMPOSADES PER L'AUTORITAT COMPETENT,200,200,200,L,N,0,,18633
RGC,39,4,,2,INCOMPLIR LES RESTRICCIONS TEMPORALS A LA CIRCULACIÓ IMPO SADES PELS AGENTS ENCARREGATS DE LA VIGILÀNCIA DEL TRÀNSIT PER ACONSEGUIR MAJOR FLUÏDESA I SEGURETAT EN LA CIRCULACIÓ,200,200,200,L,N,4,,13642
RGC,39,5,,2,INCOMPLIR LES CONDICIONS DE L'AUTORITZACIÓ ESPECIAL QUE L'EM PARA PER A PODER CIRCULAR DINTRE D'ITINERARIS I TERMINIS SUB JECTES A RESTRICCIÓ.,500,500,500,L,N,0,,5731
RGC,40,1,,2,CIRCULAR PER UN CARRIL REVERSIBLE AMB ELS LLUMS DE CURT ABAST O D'ENCREUAMENT APAGATS. ,200,200,200,L,N,0,,13586
RGC,40,2,,1,CIRCULAR PER UN CARRIL REVERSIBLE EN SENTIT CONTRARI A L'ESTIPULAT ,500,500,500,L,N,6,,8277
RGC,41,1,,1,CIRCULAR PER UN CARRIL HABILITAT EN SENTIT CONTRARI A L'HA BITUAL AMB LES LLUMS DE CURT ABAST O D'ENCREUAMENT APA GATS.,200,200,200,L,N,0,,5737
RGC,41,1,,2,CIRCULAR PER UN CARRIL DESTINAT AL SENTIT NORMAL DE LA CIR CULACIÓ CONTIGU A UN CARRIL HABILITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI AMB ELS LLUMS APAGATS.,200,200,200,L,N,0,,5738
RGC,41,1,,8,CIRCULAR PER UN CARRIL DESTINAT AL SENTIT NORMAL DE LA CIR CULACIÓ CONTIGU A UN CARRIL HABILITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI A VELOCITAT INFERIOR A L'ESTABLERTA,200,200,200,L,N,0,,5805
RGC,41,1,,12,CIRCULAR AMB UN VEHICLE NO AUTORITZAT REGLAMENTARIAMENT PER UN CARRIL HABILITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI A L'HABITUAL DEGUDAMENT SENYALITZAT,200,200,200,L,N,0,,13643
RGC,41,1,,13,"DESPLAÇAR-SE LATERALMENT DES D'UN CARRIL HABILITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI A L'HABITUAL, ENVAINT EL CA RRIL CONTIGU DESTINAT AL SENTIT NORMAL DE LA CIRCULACIÓ.",200,200,200,L,N,0,,13644
RGC,41,1,,14,"DESPLAÇAR-SE LATERALMENT DES D'UN CARRIL DESTINAT AL SEN TIT NORMAL DE LA CIRCULACIÓ, ENVAINT EL CARRIL CONTIGU HABI LITAT PER A LA CIRCULACIÓ EN SENTIT CONTRARI A L'HABITUAL.",200,200,200,L,N,0,,13645
RGC,42,1,,1,CIRCULAR PER UN CARRIL ADDICIONAL DE CIRCULACIÓ AMB ELS LLUMS DE CURT ABAST O D'ENCREUAMENT APAGATS. ,200,200,200,L,N,0,,5739
RGC,43,1,,1,"CIRCULAR EN SENTIT CONTRARI AL QUE ESTÀ ESTIPULAT EN UNA VIA DE DOBLE SENTIT DE CIRCULACIÓ, ON HI HA UN REFUGI, UNA ILLA O UN DISPOSITIU DE GUIA.",500,500,500,L,N,6,,5806
RGC,43,2,,1,"CIRCULAR EN SENTIT CONTRARI AL QUE ESTÀ ESTIPULAT PER UNA PLAÇA, UNA GLORIETA O EN UNA CONFLUÈNCIA DE VIES. ",500,500,500,L,N,6,,5807
RGC,43,2,,2,"CIRCULAR AMB UN VMP EN SENTIT CONTRARI AL QUE ESTÀ ESTIPULAT PER UNA PLAÇA, UNA GLORIETA O EN UNA CONFLUÈNCIA DE VIES. ",500,500,500,L,N,0,,24301
RGC,44,1,,3,CIRCULAR EN SENTIT CONTRARI A L'ESTIPULAT EN VIA DIVIDIDA EN MÉS D'UNA CALÇADA ,500,500,500,L,N,6,,13647
RGC,45,,,2,CIRCULAR SENSE ADEQUAR SUFICIENTMENT LA VELOCITAT A LES CARACTERÍSTIQUES DE LA VIA ,200,200,200,L,N,0,,24711
RGC,46,1,,1,"CIRCULAR AMB UN VEHICLE SENSE MODERAR LA VELOCITAT I, EN EL SEU CAS, DETENIR-SE, QUAN LES CIRCUMSTÀNCIES HO EXIGEIXEN ",200,200,200,L,N,0,,6165
RGC,46,1,,2,CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN HI HA VIA NANTS A LA PART DE LA VIA QUE EL VEHICLE ESTÀ UTILITZANT O QUAN ES POT PREVEURE RACIONALMENT QUE HI IRROMPRAN,200,200,200,L,N,0,,24486
RGC,46,1,,3,"CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN HI HA NENS, GENT GRAN, INVIDENTS O ALTRES PERSONES DISCAPACITADES A LA PART DE LA VIA QUE EL VEHICLE ESTÀ UTILITZANT",200,200,200,L,N,0,,24487
RGC,46,1,,4,"CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN ES POT PREVEURE RACIONALMENT QUE IRROMPRAN A LA VIA NENS, GENT GRAN, INVIDENTS O ALTRES PERSONES AMB DISCAPACITAT",200,200,200,L,N,0,,24488
RGC,46,1,,5,CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A CICLES CIRCULANT ,200,200,200,L,N,0,,24489
RGC,46,1,,6,CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN LES INTER SECCIONS ,200,200,200,L,N,0,,24490
RGC,46,1,,7,CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN LES PROXI MITATS DE VIES D'ÚS EXCLUSIU DE CICLES ,200,200,200,L,N,0,,24491
RGC,46,1,,8,CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN PAS DE VIANANTS NO REGULAT PER SEMÀFOR O PER UN AGENT DE CIRCULACIÓ,200,200,200,L,N,0,,24492
RGC,46,1,,9,"CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN MERCAT, CENTRE DOCENT O A UN LLOC ON SIGUI PREVISIBLE LA PRESÈNCIA DE NENS",200,200,200,L,N,0,,24493
RGC,46,1,,10,CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN HI HA ANIMALS A LA PART DE LA VIA QUE EL VEHICLE ESTÀ UTILITZANT O QUAN ES POT PREVEURE RACIONALMENT QUE IRROMPRAN,200,200,200,L,N,0,,24494
RGC,46,1,,11,CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ELS TRAMS AMB EDIFICIS DE INMEDIAT ACCÉS A LA PART DE LA VIA QUE S'ESTÀ UTILITZANT,200,200,200,L,N,0,,24495
RGC,46,1,,12,CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN AUTOBÚS EN SITUACIÓ DE PARADA ,200,200,200,L,N,0,,24496
RGC,46,1,,13,"CIRCULAR SENSE MODERAR PROU LA VELOCITAT, PROJECTANT GRAVETA A LA RESTA D'USUARIS DE LA VIA ",200,200,200,L,N,0,,24497
RGC,46,1,,14,CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN HI HA PAVIMENT LLISCANT ,200,200,200,L,N,0,,24498
RGC,46,1,,15,CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN PUGUI ESQUITXAR-SE O PROJECTAR-SE AIGUA ALS ALTRES USUARIS DE LA VIA,200,200,200,L,N,0,,24499
RGC,46,1,,16,"CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN PAS A NIVELL, A UNA GLORIETA O A UNA INTERSECCIÓ EN QUÈ NO ES TÉ PRIORITAT",200,200,200,L,N,0,,24500
RGC,46,1,,17,CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN ACOSTAR-SE A UN LLOC DE VISIBILITAT REDUÏDA O A UN ESTRETALL DE LA VIA ,200,200,200,L,N,0,,24501
RGC,46,1,,18,CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN LES CIRCUMS TÀNCIES DE LA VIA O DELS VEHICLES NO PERMETIN REALITZAR L'ENCREUAMENT AMB UN ALTRE VEHICLE AMB SEGURETAT,200,200,200,L,N,0,,24502
RGC,46,1,,19,CIRCULAR SENSE MODERAR PROU LA VELOCITAT QUAN LES CIRCUMSTÀNCIES METEREOLÒGIQUES O AMBIENTALS NO PERMETIN L'ENCREUAMENT AMB UN ALTRE VEHICLE AMB SEGURETAT,200,200,200,L,N,0,,24503
RGC,46,1,,20,CIRCULAR SENSE MODERAR PROU LA VELOCITAT EN CAS D'ENLLUERNAMENT ,200,200,200,L,N,0,,24504
